epoch,acc,loss,val_acc,val_loss
0,0.242718446623,1.55139131189,0.299651567944,1.50885995506
1,0.356449376074,1.50516588959,0.484320556245,1.44643991376
2,0.497919556213,1.34483724262,0.498257838579,1.33376876444
3,0.540915395863,1.24692172184,0.508710802432,1.23784433383
4,0.596393897778,1.08854552868,0.599303136304,1.15753183818
5,0.624133148736,0.984983549369,0.620209057364,1.10230812295
6,0.674063800691,0.888224813545,0.630662022152,1.04846910899
7,0.740638002939,0.697095781689,0.630662021944,1.15651949981
8,0.800277392676,0.556749449689,0.675958185869,1.07233223973
9,0.844660194423,0.439414771147,0.630662021944,1.33929160248
10,0.868238557724,0.398892482549,0.651567942174,1.21460006461
11,0.916782246879,0.248238225812,0.682926830099,1.2437801845
